epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8188,1.30565,2.58879,1.32617,0.64041,0.41264,0.46665,0.25545,1.60453,3.48951,1.50126,0.000658436,0.000658436,0.000658436
2,81.9183,1.62496,2.90863,1.56178,0.46443,0.39033,0.32654,0.14551,1.93644,4.31299,1.95074,0.00131198,0.00131198,0.00131198
3,121.662,1.76727,2.69497,1.66092,0.39714,0.41264,0.32809,0.1315,2.10824,3.08426,2.14046,0.00195233,0.00195233,0.00195233
4,163.278,1.82568,2.48847,1.70989,0.41658,0.33086,0.28858,0.11832,2.02123,4.06823,2.0584,0.0019406,0.0019406,0.0019406
5,200.721,1.82984,2.27153,1.71358,0.42965,0.40892,0.3494,0.16087,1.94141,3.65503,1.81562,0.0019208,0.0019208,0.0019208
6,236.49,1.7278,2.11877,1.62333,0.67286,0.40892,0.46253,0.23649,1.87277,2.19454,1.71809,0.001901,0.001901,0.001901
7,276.36,1.68547,2.0714,1.60572,0.57931,0.43494,0.44999,0.24491,1.78589,2.49633,1.67788,0.0018812,0.0018812,0.0018812
8,315.706,1.70592,1.96237,1.6164,0.58681,0.21933,0.25461,0.11941,2.09071,4.21374,2.00896,0.0018614,0.0018614,0.0018614
9,351.256,1.70724,1.98339,1.59859,0.5893,0.42673,0.43832,0.20912,1.97859,2.22011,1.78428,0.0018416,0.0018416,0.0018416
10,387.039,1.74476,1.97905,1.64456,0.74456,0.40093,0.48226,0.23279,1.9302,2.09232,1.76672,0.0018218,0.0018218,0.0018218
11,423.734,1.64373,1.8679,1.59766,0.60886,0.50186,0.54123,0.2889,1.69057,1.95835,1.68665,0.001802,0.001802,0.001802
12,461.034,1.61988,1.80516,1.56002,0.69093,0.52788,0.57445,0.30572,1.64263,1.84402,1.53664,0.0017822,0.0017822,0.0017822
13,497.844,1.55756,1.75,1.49924,0.73431,0.49316,0.57679,0.33764,1.56995,1.83193,1.49486,0.0017624,0.0017624,0.0017624
14,533.407,1.56843,1.86288,1.54155,0.77929,0.52503,0.59598,0.34166,1.56634,1.69466,1.53682,0.0017426,0.0017426,0.0017426
15,569.254,1.52023,1.75087,1.50689,0.70896,0.54333,0.59379,0.32986,1.50941,1.69741,1.46558,0.0017228,0.0017228,0.0017228
16,605.532,1.50685,1.68927,1.48052,0.7459,0.5238,0.59672,0.33269,1.55703,1.69818,1.53071,0.001703,0.001703,0.001703
17,645.617,1.45258,1.62089,1.46166,0.72158,0.55019,0.60858,0.35634,1.51818,1.69913,1.49404,0.0016832,0.0016832,0.0016832
18,684.563,1.48602,1.64909,1.49298,0.7405,0.56134,0.64435,0.35857,1.57593,1.59527,1.50383,0.0016634,0.0016634,0.0016634
19,720.39,1.44545,1.59364,1.44345,0.75414,0.57249,0.63272,0.35959,1.52474,1.61909,1.46087,0.0016436,0.0016436,0.0016436
20,759.139,1.44062,1.54981,1.4242,0.75444,0.52537,0.62369,0.366,1.50096,1.6016,1.45323,0.0016238,0.0016238,0.0016238
21,798.194,1.4753,1.55523,1.4592,0.80249,0.57621,0.64744,0.4061,1.38718,1.52796,1.39131,0.001604,0.001604,0.001604
22,838.707,1.33836,1.45437,1.38438,0.78619,0.56044,0.62683,0.37334,1.44869,1.52948,1.46937,0.0015842,0.0015842,0.0015842
23,879.661,1.435,1.54771,1.45068,0.68554,0.59108,0.61965,0.38309,1.42362,1.61929,1.42732,0.0015644,0.0015644,0.0015644
24,915.201,1.35415,1.48027,1.37646,0.77135,0.59108,0.66534,0.43271,1.35748,1.46195,1.37887,0.0015446,0.0015446,0.0015446
25,953.845,1.40231,1.62034,1.40328,0.83924,0.54339,0.6426,0.39689,1.50178,1.50403,1.45713,0.0015248,0.0015248,0.0015248
26,989.774,1.3619,1.4345,1.38028,0.77692,0.59108,0.66151,0.41443,1.3517,1.46682,1.33862,0.001505,0.001505,0.001505
27,1026.7,1.36161,1.46505,1.38767,0.8232,0.58364,0.67212,0.3973,1.4712,1.48221,1.44182,0.0014852,0.0014852,0.0014852
28,1062.05,1.34525,1.43431,1.39362,0.78332,0.56506,0.62506,0.39785,1.406,1.47073,1.41925,0.0014654,0.0014654,0.0014654
29,1099.91,1.33407,1.43861,1.37486,0.78109,0.59689,0.66762,0.42681,1.38323,1.36355,1.34945,0.0014456,0.0014456,0.0014456
30,1138.97,1.32689,1.35746,1.3707,0.79989,0.59851,0.66765,0.42882,1.38489,1.44955,1.38717,0.0014258,0.0014258,0.0014258
31,1178.08,1.35804,1.43021,1.40063,0.86122,0.57674,0.68874,0.42669,1.36619,1.39808,1.38807,0.001406,0.001406,0.001406
32,1215.76,1.33967,1.40519,1.3594,0.80163,0.57621,0.66721,0.43657,1.34507,1.44411,1.35344,0.0013862,0.0013862,0.0013862
33,1254.43,1.28866,1.39373,1.33829,0.80601,0.58736,0.67928,0.44411,1.3619,1.39587,1.36517,0.0013664,0.0013664,0.0013664
34,1290.95,1.30605,1.3463,1.35991,0.75943,0.59851,0.66866,0.43016,1.36071,1.35536,1.36867,0.0013466,0.0013466,0.0013466
35,1327,1.28749,1.37156,1.36048,0.77245,0.60573,0.6743,0.4366,1.37068,1.31634,1.36824,0.0013268,0.0013268,0.0013268
36,1363.49,1.28521,1.33573,1.32236,0.77008,0.58736,0.66397,0.42917,1.35767,1.37734,1.32948,0.001307,0.001307,0.001307
37,1400.91,1.2873,1.37942,1.34232,0.81674,0.61302,0.6787,0.43111,1.36041,1.446,1.36562,0.0012872,0.0012872,0.0012872
38,1437.35,1.28686,1.28562,1.32465,0.76707,0.58762,0.67717,0.45025,1.31215,1.34226,1.33473,0.0012674,0.0012674,0.0012674
39,1473.77,1.23272,1.27177,1.31074,0.85677,0.59108,0.69849,0.45527,1.30132,1.27036,1.31735,0.0012476,0.0012476,0.0012476
40,1509.8,1.25557,1.23993,1.31456,0.8934,0.57249,0.6769,0.43556,1.34653,1.31599,1.35403,0.0012278,0.0012278,0.0012278
41,1545.79,1.26167,1.27597,1.32401,0.79787,0.64312,0.67942,0.43391,1.35414,1.36718,1.38625,0.001208,0.001208,0.001208
42,1582.28,1.20827,1.25816,1.30487,0.87794,0.57621,0.69096,0.43593,1.32976,1.27015,1.34036,0.0011882,0.0011882,0.0011882
43,1618.89,1.20535,1.2425,1.30386,0.85053,0.59108,0.68432,0.44314,1.33903,1.2714,1.32199,0.0011684,0.0011684,0.0011684
44,1655.5,1.21506,1.24108,1.29006,0.83824,0.61644,0.69228,0.44172,1.3308,1.27037,1.35813,0.0011486,0.0011486,0.0011486
45,1691.79,1.22123,1.19872,1.2877,0.86295,0.57621,0.68709,0.44463,1.28029,1.24299,1.29983,0.0011288,0.0011288,0.0011288
46,1728.56,1.21579,1.20822,1.32235,0.86184,0.60292,0.69517,0.45223,1.32337,1.22682,1.336,0.001109,0.001109,0.001109
47,1764.95,1.18217,1.15141,1.26619,0.88602,0.63577,0.72902,0.48635,1.23397,1.23916,1.27376,0.0010892,0.0010892,0.0010892
48,1801.98,1.14806,1.15723,1.25163,0.84573,0.62082,0.70465,0.47209,1.2763,1.23014,1.31933,0.0010694,0.0010694,0.0010694
49,1846.7,1.13041,1.14034,1.25578,0.82186,0.63941,0.69674,0.4555,1.26929,1.21509,1.30038,0.0010496,0.0010496,0.0010496
50,1889.2,1.14074,1.16056,1.27453,0.85406,0.6171,0.70011,0.46352,1.23161,1.17078,1.26147,0.0010298,0.0010298,0.0010298
51,1928.75,1.12997,1.19275,1.23439,0.82839,0.57424,0.66909,0.43795,1.26649,1.33014,1.30426,0.00101,0.00101,0.00101
52,1969.87,1.13046,1.13281,1.24315,0.86545,0.61338,0.69628,0.45825,1.27387,1.20872,1.30539,0.0009902,0.0009902,0.0009902
53,2008.02,1.20101,1.17842,1.29421,0.85934,0.62454,0.71076,0.48387,1.22057,1.17624,1.2786,0.0009704,0.0009704,0.0009704
54,2047.36,1.15926,1.16868,1.26338,0.84762,0.62825,0.69375,0.4703,1.22974,1.25214,1.27151,0.0009506,0.0009506,0.0009506
